wikitree_id,name,first_name,middle_name,last_name_at_birth,birth_date,birth_year,birth_location,death_date,death_year,death_location,wikitree_url
Abell-9,Robert,Robert,,Abell,1605-00-00,1605,England,1663-06-20,1663,"Rehoboth, Bristol, Massachusetts Bay",https://www.wikitree.com/wiki/Abell-9
Abney-101,Dannett,Dannett,,Abney,1660-02-26,1660,"Leicestershire, England",1733-03-05,1733,Colony of Virginia,https://www.wikitree.com/wiki/Abney-101
Allen-579,Jane,Jane,,Allen,1587-01-13,1587,"Goldington, Bedfordshire, England",1626-12-08,1626,"Odell, Bedfordshire, England",https://www.wikitree.com/wiki/Allen-579
Alsop-24,Elizabeth,Elizabeth,,Alsop,1622-00-00,1622,England,1683-05-00,1683,"Milford, New Haven, Connecticut",https://www.wikitree.com/wiki/Alsop-24
Alsop-25,George,George,,Alsop,1625-00-00,1625,"Derbyshire, England",1679-00-00,1679,"Milford, New Haven, Connecticut",https://www.wikitree.com/wiki/Alsop-25
Alsop-371,Timothy,Timothy,,Alsop,1620-00-00,1620,"Derbyshire, England",0000-00-00,,,https://www.wikitree.com/wiki/Alsop-371
Argall-31,Samuel,Samuel,,Argall,1580-12-04,1580,"East Sutton, Kent, England",1626-01-24,1626,At Sea,https://www.wikitree.com/wiki/Argall-31
Asfordby-2,William,William,,Asfordby,1638-03-29,1638,"Saltfleetby, Lincolnshire, England",1698-02-24,1698,"Marbletown, Ulster County, New York",https://www.wikitree.com/wiki/Asfordby-2
Aston-11,Walter,Walter,,Aston,1607-00-00,1607,England,1656-04-06,1656,"Charles City County, Virginia Colony",https://www.wikitree.com/wiki/Aston-11
Bainton-1,Ann,Anne,,Bainton,1602-12-30,1602,"Salisbury, Wiltshire, England",1679-05-21,1679,"Salisbury, Essex, Massachusetts Bay",https://www.wikitree.com/wiki/Bainton-1
Barclay-168,John,John,,Barclay,1660-09-04,1660,"Edinburgh, Scotland",1731-04-29,1731,"Perth Amboy, Middlesex, New Jersey",https://www.wikitree.com/wiki/Barclay-168
Barclay-174,Robert,Robert,,Barclay,1648-12-23,1648,"Gordonstown, Morayshire, Scotland",1690-10-03,1690,"Urie, Kincardineshire, Scotland",https://www.wikitree.com/wiki/Barclay-174
Barham-65,Charles,Charles,,Barham,1626-00-00,1626,"Kent, England",1684-01-01,1684,Colony of Virginia,https://www.wikitree.com/wiki/Barham-65
Barlowe-1,Audrey,Audrey,,Barlowe,1600-00-00,1600,"Leicestershire, England",1677-02-00,1677,"Portsmouth, Rhode Island",https://www.wikitree.com/wiki/Barlowe-1
Barnes-3571,Charles,Charles,,Barnes,1625-00-00,1625,"East Winch, Norfolk, England",1669-05-11,1669,,https://www.wikitree.com/wiki/Barnes-3571
